var_0,var_1,var_2,const_0,const_1,const_2,target
-1.38743,-3.13741,-4.48433,0.0,0.0,0.0,-0.62712
-3.65466,0.25221,1.18234,0.0,0.0,0.0,1.18414
3.51728,-4.73637,-0.39378,0.0,0.0,0.0,-0.80678
-4.187,-1.28518,-3.06537,0.0,0.0,0.0,-0.63453
0.07286,1.56815,-0.50519,0.0,0.0,0.0,1.04786
-0.25369,-0.8862,3.73462,0.0,0.0,0.0,1.25532
-4.24978,-0.33011,-3.03611,0.0,0.0,0.0,-0.5719
-0.44327,-2.56206,-3.06684,0.0,0.0,0.0,-0.76144
2.6096,1.49766,-1.02893,0.0,0.0,0.0,0.71193
1.03032,0.07231,-0.85668,0.0,0.0,0.0,-0.32965
-1.7767,0.06508,-1.73697,0.0,0.0,0.0,-0.4833
-3.00772,2.46358,-0.04446,0.0,0.0,0.0,1.31034
0.51455,4.07523,-1.97096,0.0,0.0,0.0,1.17713
2.92352,2.22451,4.30889,0.0,0.0,0.0,1.26705
2.47386,-3.10068,-4.51412,0.0,0.0,0.0,-0.70992
0.34528,-2.32293,3.55677,0.0,0.0,0.0,1.10154
-2.55674,2.29456,2.66828,0.0,0.0,0.0,1.2733
0.47735,-0.68092,2.67824,0.0,0.0,0.0,1.29633
5.09557,2.18821,-4.15697,0.0,0.0,0.0,-0.59401
2.05782,1.47886,-0.96074,0.0,0.0,0.0,0.84182
-2.39282,2.2626,-3.78215,0.0,0.0,0.0,-0.61202
2.88888,-2.56993,4.32029,0.0,0.0,0.0,1.10142
4.74182,-3.26016,-0.7617,0.0,0.0,0.0,-0.57277
-1.75903,-4.20383,-4.51146,0.0,0.0,0.0,-0.64316
-4.72828,4.06132,-3.08939,0.0,0.0,0.0,1.01883
2.13458,-1.56843,-1.77678,0.0,0.0,0.0,-0.66743
4.38599,-3.51223,0.80583,0.0,0.0,0.0,-0.61839
-2.80157,-1.65972,-2.97518,0.0,0.0,0.0,-0.76931
-4.19514,-1.75516,0.23043,0.0,0.0,0.0,-0.51101
-0.61691,4.75628,-4.68029,0.0,0.0,0.0,0.28481
3.36085,0.68431,4.80952,0.0,0.0,0.0,1.2407
2.90668,-2.74883,5.06626,0.0,0.0,0.0,1.2941
-0.40243,-3.49493,1.93121,0.0,0.0,0.0,-0.58286
-4.84174,1.5149,0.77541,0.0,0.0,0.0,1.29209
-1.26264,1.86227,-2.5944,0.0,0.0,0.0,-0.25832
1.6448,4.92644,3.25731,0.0,0.0,0.0,1.4888
-1.39829,1.30434,-3.81705,0.0,0.0,0.0,-0.57806
1.65082,3.72283,-4.61586,0.0,0.0,0.0,-0.3377
4.01656,1.87994,3.0469,0.0,0.0,0.0,1.40859
1.44331,-3.24447,2.03166,0.0,0.0,0.0,-0.45227
-1.97581,2.14436,-2.40417,0.0,0.0,0.0,0.09953
2.91014,2.06989,2.26312,0.0,0.0,0.0,1.23054
0.24078,3.18288,3.62046,0.0,0.0,0.0,1.26601
-1.73433,1.22937,3.75424,0.0,0.0,0.0,1.39562
-1.06776,-0.16682,0.41221,0.0,0.0,0.0,0.58034
-1.20505,2.38477,0.81808,0.0,0.0,0.0,1.44621
-3.31312,-0.69293,0.84417,0.0,0.0,0.0,0.42398
-3.68127,-3.79606,1.57297,0.0,0.0,0.0,-0.67129
-0.45938,3.37469,1.75954,0.0,0.0,0.0,1.26842
-0.70272,-4.23542,-2.86077,0.0,0.0,0.0,-0.78517
1.544,-3.84035,-2.46072,0.0,0.0,0.0,-0.59051
-4.38787,0.40637,-1.52477,0.0,0.0,0.0,-0.44712
-0.72142,-2.86398,3.87721,0.0,0.0,0.0,1.07018
-1.63008,-0.56032,1.22166,0.0,0.0,0.0,0.92229
-3.41634,4.29613,2.30966,0.0,0.0,0.0,1.30921
-1.93041,-0.37665,-4.23625,0.0,0.0,0.0,-0.59435
-2.9595,-4.1896,-2.58988,0.0,0.0,0.0,-0.72503
-4.40936,-3.84802,2.74762,0.0,0.0,0.0,-0.43683
1.42582,-1.77261,0.24578,0.0,0.0,0.0,-0.49707
1.05626,4.89241,-3.2027,0.0,0.0,0.0,1.16142
1.02429,2.38776,0.39323,0.0,0.0,0.0,1.33463
-4.3241,-1.02781,0.79484,0.0,0.0,0.0,0.13071
-2.3531,-0.96431,1.45574,0.0,0.0,0.0,0.76688
1.04021,-2.4414,-4.8456,0.0,0.0,0.0,-0.70213
1.93044,-2.40057,4.82567,0.0,0.0,0.0,1.44633
-0.69946,-1.30295,-4.78403,0.0,0.0,0.0,-0.66609
-1.45537,-1.63872,-2.98101,0.0,0.0,0.0,-0.62094
3.52252,0.22583,-4.76733,0.0,0.0,0.0,-0.73241
2.49658,-4.2389,-0.51611,0.0,0.0,0.0,-0.67189
3.11067,-2.2348,-2.86959,0.0,0.0,0.0,-0.77986
-4.8362,-2.09581,-4.21,0.0,0.0,0.0,-0.5492
4.60448,1.43561,3.02592,0.0,0.0,0.0,1.43831
1.97085,3.44834,2.55672,0.0,0.0,0.0,1.3749
-0.61322,4.25079,-4.43207,0.0,0.0,0.0,-0.03757
-3.96578,-4.33941,-1.68868,0.0,0.0,0.0,-0.73744
2.71932,4.46151,1.10614,0.0,0.0,0.0,1.27672
3.5648,2.37582,4.80215,0.0,0.0,0.0,1.31923
-4.45668,1.7167,-0.96767,0.0,0.0,0.0,1.02946
-4.12456,-3.04297,-3.18823,0.0,0.0,0.0,-0.70664
0.74221,2.94979,-1.94562,0.0,0.0,0.0,0.99858
-3.91325,-0.78536,1.58978,0.0,0.0,0.0,0.89999
-1.16061,-1.38261,-4.03729,0.0,0.0,0.0,-0.63597
-4.86677,-2.03523,4.60564,0.0,0.0,0.0,1.48479
-3.081,0.57963,-0.64964,0.0,0.0,0.0,0.15419
-1.88751,-2.01973,2.39222,0.0,0.0,0.0,0.65858
3.40806,4.65508,-4.36488,0.0,0.0,0.0,0.24444
-3.2217,3.69585,1.57206,0.0,0.0,0.0,1.43923
-1.40139,-0.46021,0.31553,0.0,0.0,0.0,0.24407
-2.272,-1.62757,-2.8824,0.0,0.0,0.0,-0.65324
-0.85439,1.57685,-3.13647,0.0,0.0,0.0,-0.63693
2.73538,-3.01214,-1.60321,0.0,0.0,0.0,-0.69501
4.23253,4.22153,-1.46271,0.0,0.0,0.0,1.36981
0.04747,-0.52125,3.084,0.0,0.0,0.0,1.39285
-0.40683,2.53079,-0.36116,0.0,0.0,0.0,1.29894
3.99955,0.73214,-1.01208,0.0,0.0,0.0,0.02763
-3.2476,-4.94286,4.71917,0.0,0.0,0.0,0.35065
-0.36199,-2.18662,-0.80831,0.0,0.0,0.0,-0.66731
2.70973,-1.77395,0.07607,0.0,0.0,0.0,-0.61482
-4.47339,3.18831,2.17951,0.0,0.0,0.0,1.40661
2.2245,1.20198,-0.96892,0.0,0.0,0.0,0.51044
-0.8567,-0.5892,-3.22157,0.0,0.0,0.0,0.00084
-2.08504,-1.18482,1.40877,0.0,0.0,0.0,0.00121
-4.40525,-1.13416,-3.36063,0.0,0.0,0.0,0.0
